,id,Emotion,Text
3,4,1, What ’ s wrong with that ? Cigarette is the thing I go crazy for . 
6,7,1," Getting worse . Now he ’ s eating me out of house and home . I ’ Ve tried talking to him but it all goes in one ear and out the other . He makes himself at home , which is fine . But what really gets me is that yesterday he walked into the living room in the raw and I had company over ! That was the last straw . "
10,11,1," No , the steak was recommended , but it is not very fresh . "
12,13,1, So what ? It is not fresh and I'm not happy about it . 
14,15,1," No , thank you . "
16,17,1, Shame on you ! 
18,19,1, That's not fair ! 
20,21,1, Not back home for dinner again ? That ’ s the third time this week ! 
26,27,1,I hate doing the damn laundry . 
31,32,6, No ! Are you kidding me ? 
33,34,1, I can ’ t believe it ! I have all my important personal documents stored in that computer . It ’ s no laughing matter . 
35,36,1," Well , you should be sorry ! Don ’ t ever use my computer again ! You can ’ t do anything now , it ’ s too late ! "
39,40,1," Yes , you should have . "
40,41,1,Man ! That car almost hit me ! 
42,43,1,The washing machine isn't working again . 
46,47,1," Yes , please . I can't stand watching the channel any more . "
57,58,1," I'm mad ! I said now ! Turn off the TV , and do it now . "
59,60,1," Peter , if you don't do it soon , I will throw your toys in the trash can . "
64,65,1," Peter , it's a quarter to twelve . Let's go home now ! "
66,67,1, Good heavens ! Don't bring that frog in the house . 
69,70,1, Shame on you . I was saving them for your brother . 
75,76,1, Uh ! Dad ! 
79,80,1, You don't know what you are asking ! 
92,93,1, Come on mom . I'm your A ! Wait till the guys hear about this ! 
100,101,1, So that we can sit down together and listen to some music . 
106,107,1, Mom ! I'll wear a helmet and I'll drive sane . I promise . 
117,118,1, At least I enjoy my lunch ! What's in your bag ? 
119,120,1," There's the difference , your wife made it ! I have to make my own lunch ! "
120,121,1,I'm going crazy . 
124,125,1,"Ann , it's terrible ! "
129,130,1, I think it's because of your bad habits ! 
132,133,6, I wasn't aware of that ! 
137,138,1," Like me ? But you see I am so successful now . And if he is really like me , he will be more successful than me in the future . "
139,140,1," Pay him ? But he studies for himself , not for you or for me or for anybody else . I got an idea . You should send him to class every morning and after the class begins , you can go to work . "
144,145,1, I quarreled with my roommate last night . He is really stubborn . 
146,147,1, He is really outrageous . 
149,150,6, What ? He can't do this to you . 
150,151,1," Well , he did it anyway . Then he came into my room and shot all his shit blah blah blah ... you know . "
152,153,1, I shouted it back of course . 
156,157,1," No way , Kate . I mean it's just not my fault . "
158,159,1, I am too angry to do that . 
160,161,1, It's none of your business . 
162,163,1, I'm going out anyway . Get out of my way . 
165,166,1, I don't care . I have a headache . 
168,169,1, Why ? You can't be always so lazy . 
181,182,1," Oh , this one is perfect . "
188,189,1, That sucks . I'd be pissed if that happened to me . 
190,191,1," Oh my gosh . Damn ... screw the court , I would burn down their store . "
196,197,1, Damn it ! I think I'm going to miss the plane . 
210,211,1, I was late for work because of them . 
212,213,1, I want my money back for the delivery . 
219,220,1, Forget it ! It was a bitter pill for me to swallow . 
226,227,6, Milk ? I thought you didn't like milk . 
