,Sr No.,Utterance,Emotion
4,5,My duties?  All right.,surprise
12,13,Really?!,surprise
14,15,But then who? The waitress I went out with last month?,surprise
16,17,"No-no-no-no, no! Who, who were you talking about?",surprise
25,28,No way!,surprise
34,37,"Oh my God, oh my God! Poor Monica!",surprise
35,38,"What, what, what?!",surprise
36,39,What?!,surprise
40,43,"He thinks Monica is empty, she is the empty vase!",surprise
43,47,Hey!,surprise
45,49,What are you doing here?,surprise
61,65,Everybody!!,surprise
63,67,You liked it? You really liked it?,surprise
67,71,"Oh no-no-no, give me some specifics.",anger
70,74,I was surprised to see a kangaroo in a World War I epic.,surprise
71,75,You fell asleep!!,anger
72,76,There was no kangaroo!,anger
73,77,They didn’t take any of my suggestions!,anger
79,83,Look!,surprise
80,84,This guy fell asleep!,anger
81,85,He fell asleep too!,anger
82,86,Be mad at him!,anger
83,87,"Or, call an ambulance.",anger
85,89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",anger
106,110,"Ok, pure evil , horny and alone . I've done this",anger
107,111,Nobody!,anger
108,112,Nobody respects the bucket!,anger
109,113,You wouldn't believe what people put in here!,anger
110,114,Look!,anger
111,115,"Okay, does this look like a garbage can to you?",anger
114,118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",anger
126,130,What?!,surprise
131,135,This sounds like a hernia. You have to—you-you go to the doctor!,surprise
134,138,Why did I have to start working out again?  Damn you 15s!,anger
137,141,"Oh wow! So, you’re more than just dinosaurs.",surprise
142,146,Really?!,surprise
145,149,Get Out!,anger
149,153,"Oh my God, wh-what happened?",surprise
151,155,I knew that was him!,anger
161,165,"Ok, gentlemen!",anger
162,166,Please!,anger
163,167,Aren't we a little old for this?,anger
165,169,We're academics.,anger
171,176,What’s with all this sand?,surprise
174,179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger
194,199,"Man, I didn't think we were gonna make it!",surprise
213,218,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise
215,220,How does she do that?,surprise
218,223,Oh! What what what! ...Hi.,surprise
220,225,What's going on with you?,surprise
221,226,I got no sleep last night!,anger
231,236,"Water breaking, what do you mean? What's that, water breaking?",surprise
