tweet_id;sentiment;content
10000;anger   ;How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##       
10001;anger   ;So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted        
10002;anger   ;@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice   
10003;anger   ;so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ###### 
10004;anger   ;Don't join @BTCare they put the phone down on you talk over you and are rude. Taking money out of my acc willynilly! #fuming  
10005;anger   ;My blood is boiling    
10006;anger   ;When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA #raging #oldcunt     
10007;anger   ;@bt_uk why does tracking show my equipment delivered when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming       
10008;anger   ;@TeamShanny legit why i am so furious with him people are such fucking idiots.
10009;anger   ;How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. 
10010;anger   ;im so mad about power rangers. im incensed. im furious.
10011;anger   ;Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming       
10012;anger   ;Bitches aggravate like what inspires you to be the biggest cunt known to man kind?     
10013;anger   ;Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted been waiting for an appearance for ages #raging   
10014;anger   ;Fuking fuming ðŸ˜¤     
10015;anger   ;Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing       
10016;anger   ;@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.   
10017;anger   ;I hate my lawn mower. If it had a soul I'd condemn it to the fiery pits of Hell.      
10018;anger   ;why are people so offended by kendall he ends photo shoot like seriously shut the fuck up      
10019;anger   ;I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn 
10020;anger   ;Making my buddy cry !! Bitch wait for revenge ðŸ¤—ðŸ‘ŒðŸ»     
10021;anger   ;Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult    
10022;anger   ;I got a NO RESPONSE again from an #irate customer of #amazon ðŸ˜žðŸ˜ž\nwhy can't they understand that it's not always amazon fault..\n#carrierfault    
10023;anger   ;Tasers immobilize if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder     
10024;anger   ;@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling little bastards!       
10025;anger   ;Actually fuming I have nothing to wear Saturday
10026;anger   ;.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming      
10027;anger   ;Bloody parking ticket ðŸ˜’ðŸ’¸ #fuming 
10028;anger   ;You ever just find that the people around you really irritate you sometimes? That's me right now ðŸ˜’  
10029;anger   ;I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road 
10030;anger   ;This fuck you is boiling up inside its not gonna be good when I let it out.   
10031;anger   ;@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines #fuming #con!   
10032;anger   ;I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed      
10796;anger   ;630am meeting Olympic House #10golds24 .  #neverquit #believe #dreambig #TeamTTO #going4gold   
10034;anger   ;@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR       
10036;anger   ;@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.     
10037;anger   ;@SunandBeachBum 'you people' infuriate me!     
10038;anger   ;@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment 
10844;anger   ;@Aurena171 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol      
10040;anger   ;Still can't log into my fucking Snapchat#Snapchat #snap
10041;anger   ;@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming
10042;anger   ;SOMEONE LET SNAKES IN MY HOUSE I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2     
10043;anger   ;so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######       
10044;anger   ;Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted been waiting for an appearance for ages   
10045;anger   ;i feel furious 
10046;anger   ;"Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.      "
10047;anger   ;Still can't log into my fucking Snapchat #Snapchat     
10048;anger   ;I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter      
10049;anger   ;People irritate my MF soul     
10050;anger   ;Im so angry ðŸ˜‚ðŸ™ƒ   
10051;anger   ;People fuckin irritate me      
10052;anger   ;@leesyatt you are a cruel cruel man. #therewillbeblood #revenge       
10053;anger   ;That way ur so angry you can literally feel ur blood boiling   
10054;anger   ;@KatzeAnilothei this amount of greedy mooching makes me snarl. 
10055;anger   ;My mind is raging and i just want to end it all
10056;anger   ;Absolutely fuming that some woman jumped into my prebooked taxi and drove off ðŸ˜¡     
10057;anger   ;I'm nothing but a hateful and bitter fag       
10058;anger   ;@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay      
10059;anger   ;@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!  
10060;anger   ;@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming     
10061;anger   ;@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious
10062;anger   ;So angry I wanna cryðŸ˜¢ðŸ˜¢ðŸ˜¢       
10063;anger   ;OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH     
10064;anger   ;Boycotting @DunkinDonuts till butter pecan comes back. I am furious    
10213;anger   ;@Casper10666 I assure you there is no laughter but increasing anger at the costs and arrogance of Westminster.       
10066;anger   ;my mom cut my phone off and I'm so furious ðŸ¤—
