,tweet_id,sentiment,content
1,1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
2,1956967696,sadness,Funeral ceremony...gloomy friday...
5,1956968477,fear,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6,1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,1956968636,fear,Hmmm. http://www.djhero.com/ is down
8,1956969035,sadness,@charviray Charlene my love. I miss you
9,1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
11,1956969531,fear,Choked on her retainers
12,1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
13,1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
14,1956970860,surprise,Got the news
15,1956971077,sadness,The storm is here and the electricity is gone
17,1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
18,1956971473,fear,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,1956971981,fear,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
23,1956972270,fear,I ate Something I don't know what it is... Why do I keep Telling things about food
24,1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25,1956972444,fear,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26,1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
27,1956972884,fear,Damm servers still down  i need to hit 80 before all the koxpers pass me
28,1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
29,1956973690,fear,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
30,1956974706,anger,It is so annoying when she starts typing on her computer in the middle of the night!
36,1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
37,1956976371,fear,I need skott right now
40,1956977084,happy,mmm much better day... so far! it's still quite early. last day of #uds
42,1956977618,fear,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
43,1956977624,fear,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
45,1956978410,fear,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
46,1956978668,fear,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
47,1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
51,1956979900,fear,why am i so tired?
55,1956980972,fear,sucks not being able to take days off of work or have the money to take the trip  so sad
59,1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
60,1956982449,fear,@itsgabbith at once haha.  poor aby still gets sore!
61,1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62,1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63,1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.
64,1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
66,1956983509,fear,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
67,1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
68,1956983851,fear,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
69,1956983874,happy,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
71,1956984185,fear,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
74,1956984864,fear,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
77,1956985535,happy,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
78,1956985612,fear,is sad that shin ae got married...and it wasn't to alex
79,1956985758,fear,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
